playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Christian Atsu,,2011-2012,19,14th,27,23,"2,020",6,6,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,26,,
Christian Atsu,,2012-2013,20,1st,17,9,682,1,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Christian Atsu,,2013-2014,21,6th,26,25,"2,118",5,6,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,,
Christian Atsu,,2014-2015,22,11th,5,1,113,0,1,,1,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,0,,
Christian Atsu,,2015-2016,23,8th,12,3,401,2,0,,6,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,3,,
Christian Atsu,,2016-2017,24,1st,32,15,"1,578",5,1,0,11,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,17,14,,
Christian Atsu,,2017-2018,25,10th,28,19,"1,784",2,2,35,13,37.1,0.06,363,70.5,29.3,80.3,45.2,57,346,65,104,396,63,44,1,16,Matches,47,36,5,5,3,1,17,6,297,24.9,789,37.7,669,493,73.7,32,9,10,150,11.8
Christian Atsu,,2018-2019,26,13th,28,15,"1,493",1,0,28,14,50.0,0.04,335,73.8,37.5,82.7,50.0,42,296,78,80,348,64,26,3,9,Matches,29,24,0,4,3,0,27,16,409,22.7,659,52.5,691,448,64.8,32,13,14,127,11.3
Christian Atsu,,2019-2020,27,13th,19,6,749,0,3,5,1,20.0,0.00,163,78.4,42.9,88.0,56.8,17,147,20,41,168,26,9,2,4,Matches,22,17,2,3,2,0,12,9,243,19.3,332,47.5,321,215,67.0,21,13,11,50,36.8
Jordan Ayew,,2009-2010,17,1st,4,0,70,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,
Jordan Ayew,,2010-2011,18,2nd,22,5,743,2,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,23,,
Jordan Ayew,,2011-2012,19,10th,34,17,"1,694",3,3,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,43,,
Jordan Ayew,,2012-2013,20,2nd,35,19,"1,978",7,0,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,54,,
Jordan Ayew,,2013-2014,21,6th,16,7,642,1,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,22,,
Jordan Ayew,,2013-2014,21,18th,17,16,"1,355",5,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,31,,
Jordan Ayew,,2014-2015,22,16th,31,29,"2,613",12,5,,48,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,61,,
Jordan Ayew,,2015-2016,23,20th,30,27,"2,349",7,0,,21,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,48,,
Jordan Ayew,,2016-2017,24,13th,21,17,"1,526",2,5,0,10,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,4,29,,
Jordan Ayew,,2016-2017,24,15th,14,9,866,1,2,12,6,50.0,0.08,,,,,,19,,,,,,,,,Matches,,,,,,,,12,,,,,,,,,5,18,,
Jordan Ayew,,2017-2018,25,18th,36,33,"2,852",7,2,60,21,35.0,0.10,696,79.0,47.3,85.6,63.4,45,674,83,124,46,751,47,2,19,Matches,63,30,13,4,1,1,72,52,938,24.7,1423,62.5,1485,1001,67.4,105,3,63,188,30.8
Jordan Ayew,,2018-2019,26,12th,20,14,"1,181",1,2,26,3,11.5,0.04,201,73.6,29.0,83.9,54.1,15,195,36,42,24,214,8,2,5,Matches,32,21,2,4,3,0,42,28,574,24.2,493,66.7,637,330,51.8,43,6,32,58,29.5
Jordan Ayew,,2019-2020,27,14th,37,37,"3,148",9,2,56,24,42.9,0.16,686,81.9,55.9,87.0,68.1,25,588,154,96,50,684,31,3,18,Matches,66,43,11,7,3,3,54,29,1018,21.5,1366,64.1,1682,956,56.8,99,0,59,212,25.2
Steven Bergwijn,,2014-2015,16,1st,1,0,12,0,0,,0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,0,,
Steven Bergwijn,,2014-2015,16,14th,7,5,435,3,1,,8,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Steven Bergwijn,,2015-2016,17,11th,20,20,"1,550",9,2,,18,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Steven Bergwijn,,2015-2016,17,1st,5,0,84,0,0,,0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,1,,
Steven Bergwijn,,2016-2017,18,4th,4,4,358,2,0,0,5,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,0,,,
Steven Bergwijn,,2016-2017,18,3rd,25,8,919,2,1,0,15,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,17,13,,
Steven Bergwijn,,2017-2018,19,1st,32,27,"2,172",8,7,0,28,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,5,25,,
Steven Bergwijn,,2018-2019,20,2nd,33,33,"2,846",14,12,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Steven Bergwijn,,2019-2020,21,4th,16,16,"1,332",5,10,36,17,47.2,0.11,,,,,,15,,,,,,,,,Matches,,,,,,,,4,,,,,,,,,0,11,,
Steven Bergwijn,,2019-2020,21,6th,14,8,704,3,1,9,4,44.4,0.33,225,86.9,66.7,89.8,75.9,10,178,50,31,11,224,11,0,2,Matches,26,22,2,1,1,0,5,4,117,29.1,351,38.5,342,233,68.1,12,6,7,71,42.9
Emi Buendía,,2014-2015,17,15th,6,1,135,0,0,,2,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,1,,
Emi Buendía,,2015-2016,18,19th,17,6,754,1,0,,4,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,11,17,,
Emi Buendía,,2016-2017,19,3rd,0,0,,,,0,22,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,0,60,,
Emi Buendía,,2017-2018,20,19th,40,35,"3,155",6,13,71,26,36.6,0.11,,,,,,181,,,,,,,,,Matches,,,,,,,,66,,,,,,,,,5,56,,
Emi Buendía,,2018-2019,21,1st,38,35,"2,841",8,12,40,11,27.5,0.03,1144,74.6,40.3,84.8,56.7,166,1040,202,292,199,1272,29,8,37,Matches,135,83,10,7,5,0,88,58,789,26.2,1983,76.3,1561,1329,85.1,67,3,36,232,29.9
Todd Cantwell,,2017-2018,19,2nd,10,8,743,2,0,0,3,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,2,4,,
Todd Cantwell,,2017-2018,19,7th,12,12,973,3,2,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Todd Cantwell,,2017-2018,19,14th,0,0,,,,23,4,17.4,0.04,,,,,,10,,,,,,,,,Matches,,,,,,,,19,,,,,,,,,0,15,,
Todd Cantwell,,2018-2019,20,1st,24,18,"1,595",1,2,42,16,38.1,0.14,884,79.9,51.4,86.4,59.3,25,818,183,106,93,951,30,6,23,Matches,73,58,6,5,5,0,49,29,575,26.1,1511,60.6,1401,1111,79.3,59,6,33,180,27.6
Tahith Chong,,2016-2017,16,6th,0,0,,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Tahith Chong,,2017-2018,17,12th,8,8,696,3,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Tahith Chong,,2018-2019,18,6th,17,17,"1,481",6,2,2,1,50.0,0.00,13,86.7,0.0,90.9,100.0,0,14,0,1,15,0,0,0,1,Matches,2,1,0,0,0,0,0,0,6,50.0,22,100.0,24,19,79.2,1,0,0,2,
Tahith Chong,,2018-2019,18,6th,2,0,38,0,0,1,0,0.0,0.00,9,64.3,0.0,81.8,0.0,0,13,1,0,14,0,0,0,2,Matches,2,2,0,0,0,0,0,0,15,26.7,20,33.3,23,17,73.9,2,2,2,2,0.0
Tahith Chong,,2019-2020,19,3rd,3,0,37,0,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,,,
Leon Clarke,,2003-2004,18,16th,4,3,205,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Leon Clarke,,2004-2005,19,9th,28,11,"1,292",7,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,41,,
Leon Clarke,,2005-2006,20,7th,30,16,"1,436",1,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,32,,
Leon Clarke,,2006-2007,21,6th,5,5,445,3,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22,,
Leon Clarke,,2006-2007,21,9th,32,14,"1,368",6,0,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,38,,
Leon Clarke,,2007-2008,22,6th,16,16,"1,367",8,2,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35,,
Leon Clarke,,2007-2008,22,16th,8,2,267,3,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,
Leon Clarke,,2008-2009,23,12th,29,20,"1,902",8,3,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,37,,
Leon Clarke,,2009-2010,24,22nd,36,18,"1,907",6,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,47,,
Leon Clarke,,2010-2011,25,22nd,6,5,417,1,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,,
Leon Clarke,,2010-2011,25,1st,13,2,336,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,5,,
Leon Clarke,,2011-2012,26,3rd,4,4,336,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,,
Leon Clarke,,2011-2012,26,22nd,14,14,"1,241",9,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27,,
Leon Clarke,,2011-2012,26,1st,7,1,169,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,
Leon Clarke,,2011-2012,26,1st,2,2,157,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,
Leon Clarke,,2012-2013,27,21st,15,14,"1,287",12,0,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,27,,
Leon Clarke,,2012-2013,27,15th,12,11,"1,008",8,0,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23,,
Leon Clarke,,2013-2014,28,18th,23,22,"2,000",15,5,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30,,
Leon Clarke,,2013-2014,28,1st,13,4,534,1,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,,
Leon Clarke,,2014-2015,29,7th,16,5,575,2,0,,5,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,11,15,,
Leon Clarke,,2014-2015,29,23rd,10,9,734,1,2,,7,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,16,,
Leon Clarke,,2015-2016,30,16th,32,32,"2,800",15,1,,47,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,57,,
Leon Clarke,,2016-2017,31,1st,23,12,"1,215",7,1,0,14,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,11,41,,
Leon Clarke,,2017-2018,32,10th,39,38,"3,329",19,5,88,46,52.3,0.22,,,,,,27,,,,,,,,,Matches,,,,,,,,8,,,,,,,,,1,73,,
Leon Clarke,,2018-2019,33,18th,15,9,839,3,2,22,9,40.9,0.14,,,,,,1,,,,,,,,,Matches,,,,,,,,7,,,,,,,,,6,8,,
Leon Clarke,,2018-2019,33,2nd,24,9,943,3,3,23,9,39.1,0.13,,,,,,3,,,,,,,,,Matches,,,,,,,,2,,,,,,,,,15,16,,
Leon Clarke,,2019-2020,34,9th,2,0,35,0,0,1,0,0.0,0.00,5,71.4,,66.7,100.0,0,2,3,2,2,2,1,0,0,Matches,0,0,0,0,0,0,0,0,17,29.4,11,,14,8,57.1,0,2,0,0,66.7
Josip Drmić,,2009-2010,16,7th,4,0,50,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Josip Drmić,,2010-2011,17,2nd,7,2,145,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Josip Drmić,,2011-2012,18,6th,20,12,"1,133",5,0,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Josip Drmić,,2012-2013,19,4th,31,28,"2,359",13,5,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Josip Drmić,,2013-2014,20,17th,33,30,"2,656",17,3,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,57,,
Josip Drmić,,2014-2015,21,4th,25,5,804,6,1,,9,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,20,15,,
Josip Drmić,,2015-2016,22,10th,6,5,418,1,0,,3,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,11,,
Josip Drmić,,2015-2016,22,4th,13,4,448,1,0,,2,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,9,4,,
Josip Drmić,,2016-2017,23,9th,12,2,282,0,0,10,2,20.0,0.00,,,,,,2,,,,,,,,,Matches,,,,,,,,4,,,,,,,,,10,6,,
Josip Drmić,,2017-2018,24,9th,13,4,467,4,1,18,6,33.3,0.22,91,65.9,33.3,74.5,45.8,1,70,41,27,23,88,10,1,1,Matches,12,9,2,4,1,2,0,0,69,26.1,199,57.1,243,151,62.1,18,9,4,30,52.5
Josip Drmić,,2018-2019,25,5th,5,2,222,2,0,7,3,42.9,0.29,54,85.7,83.3,87.8,75.0,3,46,11,6,15,41,2,0,1,Matches,4,4,0,2,2,0,0,0,28,14.3,80,50.0,100,61,61.0,3,3,4,11,37.5
Josip Drmić,,2019-2020,26,20th,21,5,647,1,0,13,5,38.5,0.08,125,76.2,50.0,85.6,44.0,3,102,44,18,19,121,7,0,4,Matches,11,7,1,1,0,1,4,3,133,26.3,240,42.9,300,159,53.0,24,16,6,49,23.1
Phil Foden,,2017-2018,17,6th,9,9,810,6,3,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Phil Foden,,2017-2018,17,1st,5,0,49,0,1,0,0,,,41,85.4,,90.2,57.1,4,41,3,4,37,9,2,0,2,Matches,6,3,2,2,2,0,1,1,14,21.4,55,100.0,51,46,90.2,2,5,1,4,0.0
Phil Foden,,2018-2019,18,1st,13,3,335,1,0,14,6,42.9,0.07,202,86.0,50.0,90.1,78.6,4,199,24,12,196,31,3,1,8,Matches,14,11,1,1,1,0,7,7,117,28.2,279,60.0,270,228,84.4,3,10,4,31,16.7
Phil Foden,,2019-2020,19,2nd,23,9,901,5,2,34,14,41.2,0.15,431,84.8,43.5,90.0,71.4,28,398,51,59,450,37,11,0,2,Matches,44,35,3,8,8,0,16,9,253,29.2,628,77.4,591,516,87.3,10,14,12,61,32.0
Anwar El Ghazi,,2014-2015,19,2nd,31,23,"2,174",9,8,,33,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,8,30,,
Anwar El Ghazi,,2015-2016,20,2nd,27,20,"1,756",11,2,,29,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,32,,
Anwar El Ghazi,,2016-2017,21,2nd,12,7,621,0,2,0,8,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,5,5,,
Anwar El Ghazi,,2016-2017,21,2nd,4,3,291,4,1,0,5,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,1,,,
Anwar El Ghazi,,2016-2017,21,11th,12,7,703,1,0,19,4,21.1,0.05,,,,,,14,,,,,,,,,Matches,,,,,,,,6,,,,,,,,,5,12,,
Anwar El Ghazi,,2017-2018,22,17th,27,19,"1,648",4,4,62,30,48.4,0.06,434,68.5,39.3,79.0,47.1,106,444,50,140,100,487,18,5,24,Matches,50,27,4,6,4,0,21,14,190,26.3,853,50.9,823,618,75.1,41,8,17,75,41.2
Anwar El Ghazi,,2018-2019,23,2nd,0,0,,,,56,20,35.7,0.09,,,,,,147,,,,,,,,,Matches,,,,,,,,21,,,,,,,,,0,33,,
Anwar El Ghazi,,2018-2019,23,5th,31,25,"2,163",5,6,50,19,38.0,0.06,402,65.4,26.8,76.9,48.7,106,331,134,150,95,450,29,4,9,Matches,57,38,6,6,4,2,17,10,350,21.1,843,62.5,912,606,66.4,37,6,20,122,37.3
Jack Grealish,,2013-2014,17,20th,37,32,"2,824",5,5,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,18,,
Jack Grealish,,2013-2014,17,15th,1,0,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,
Jack Grealish,,2014-2015,18,17th,17,7,821,0,1,,5,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,10,6,,
Jack Grealish,,2015-2016,19,20th,16,9,833,1,0,,4,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,6,,
Jack Grealish,,2016-2017,20,13th,31,20,"1,909",5,2,0,12,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,11,18,,
Jack Grealish,,2017-2018,21,2nd,3,3,220,0,2,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Jack Grealish,,2017-2018,21,4th,27,19,"1,863",3,5,50,13,26.0,0.06,,,,,,71,,,,,,,,,Matches,,,,,,,,15,,,,,,,,,8,20,,
Jack Grealish,,2018-2019,22,5th,31,31,"2,688",6,6,65,21,32.3,0.09,,,,,,115,,,,,,,,,Matches,,,,,,,,26,,,,,,,,,0,38,,
Jack Grealish,,2019-2020,23,17th,36,36,"3,233",8,6,72,22,30.6,0.11,1217,79.1,37.6,87.7,65.8,140,1071,214,253,103,1363,20,5,27,Matches,184,130,11,15,11,2,36,28,574,26.8,2029,59.2,1776,1467,82.6,62,0,36,254,32.7
Pascal Groß,,2008-2009,17,7th,4,1,51,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,,
Pascal Groß,,2009-2010,18,11th,1,0,12,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,
Pascal Groß,,2010-2011,19,15th,3,2,142,1,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,
Pascal Groß,,2011-2012,20,16th,22,16,"1,438",2,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Pascal Groß,,2012-2013,21,13th,30,28,"2,289",2,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Pascal Groß,,2013-2014,22,10th,29,26,"2,313",2,2,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,
Pascal Groß,,2014-2015,23,1st,34,33,"2,968",7,16,,33,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,29,,
Pascal Groß,,2015-2016,24,11th,32,32,"2,830",1,4,,19,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,40,,
Pascal Groß,,2016-2017,25,17th,33,31,"2,720",5,3,51,14,27.5,0.04,,,,,,172,,,,,,,,,Matches,,,,,,,,53,,,,,,,,,2,47,,
Pascal Groß,,2017-2018,26,15th,38,35,"2,928",7,8,43,19,44.2,0.14,974,68.4,41.5,80.3,49.3,232,883,131,410,280,1091,36,16,38,Matches,116,68,3,14,11,0,37,27,795,22.0,1695,72.7,1462,1123,76.8,63,3,33,226,8.8
Pascal Groß,,2018-2019,27,17th,25,24,"1,864",3,3,21,7,33.3,0.10,654,69.0,38.7,81.9,50.1,141,531,125,292,171,722,47,10,21,Matches,77,40,4,6,1,0,24,15,623,16.5,1124,83.3,948,739,78.0,30,1,12,151,13.8
Pascal Groß,,2019-2020,28,15th,29,22,"1,796",2,4,29,9,31.0,0.07,762,74.1,22.2,87.0,54.1,146,605,152,271,179,802,26,9,16,Matches,93,51,4,8,3,0,33,21,395,26.1,1222,52.6,1118,855,76.5,32,7,25,123,31.3
Onel Hernández,,2010-2011,17,18th,10,1,278,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,,
Onel Hernández,,2011-2012,18,13th,18,4,546,0,0,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,
Onel Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onel Hernández,,2016-2017,23,3rd,34,28,"2,575",5,4,0,15,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,6,46,,
Onel Hernández,,2017-2018,24,17th,17,13,"1,225",1,1,23,7,30.4,0.04,,,,,,32,,,,,,,,,Matches,,,,,,,,21,,,,,,,,,4,21,,
Onel Hernández,,2017-2018,24,14th,12,5,490,0,1,4,2,50.0,0.00,,,,,,23,,,,,,,,,Matches,,,,,,,,5,,,,,,,,,7,11,,
Onel Hernández,,2018-2019,25,1st,40,34,"3,137",8,9,87,33,37.9,0.09,,,,,,66,,,,,,,,,Matches,,,,,,,,29,,,,,,,,,6,42,,
Onel Hernández,,2019-2020,26,20th,26,14,"1,384",1,2,30,9,30.0,0.03,248,74.0,40.0,83.1,36.8,24,252,52,31,59,253,11,0,6,Matches,43,27,10,4,3,1,37,27,244,34.4,565,63.2,554,368,66.4,32,12,14,90,11.5
Son Heung-min,,2010-2011,18,8th,13,8,720,3,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,13,,
Son Heung-min,,2011-2012,19,15th,27,11,"1,223",5,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,15,,
Son Heung-min,,2012-2013,20,7th,33,31,"2,689",12,2,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,,
Son Heung-min,,2013-2014,21,4th,31,29,"2,367",10,4,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,20,,
Son Heung-min,,2014-2015,22,4th,30,28,"2,280",11,2,,26,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,30,,
Son Heung-min,,2015-2016,23,3rd,1,1,63,0,0,,0,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,1,,
Son Heung-min,,2015-2016,23,3rd,28,13,"1,107",4,1,,13,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,15,11,,
Son Heung-min,,2016-2017,24,2nd,34,23,"2,062",14,6,80,33,41.3,0.18,,,,,,62,,,,,,,,,Matches,,,,,,,,13,,,,,,,,,11,10,,
Son Heung-min,,2017-2018,25,3rd,37,27,"2,317",12,6,72,34,47.2,0.17,781,80.1,49.2,85.2,61.3,50,791,111,73,159,773,31,3,32,Matches,85,66,10,20,14,3,21,13,397,27.2,1304,59.1,1452,1069,73.6,70,10,15,135,0.0
Son Heung-min,,2018-2019,26,4th,31,23,"2,039",12,6,75,28,37.3,0.16,646,83.7,31.3,88.6,77.2,25,636,95,41,136,602,24,4,22,Matches,79,53,16,14,7,4,18,7,471,25.3,1088,56.7,1243,858,69.0,47,8,11,129,17.9
Son Heung-min,,2019-2020,27,6th,30,28,"2,476",11,10,81,39,48.1,0.14,705,79.9,31.5,88.7,61.6,77,629,143,110,118,714,23,1,15,Matches,95,60,15,22,13,3,33,21,544,24.4,1241,57.8,1273,868,68.2,46,2,17,183,19.0
Adam Idah,,2017-2018,16,7th,6,4,393,0,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,,,
Adam Idah,,2018-2019,17,11th,19,18,"1,645",13,4,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,1,,,
Adam Idah,,2019-2020,18,11th,7,7,600,2,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Adam Idah,,2019-2020,18,20th,12,1,228,0,0,6,2,33.3,0.00,37,77.1,44.4,84.8,83.3,0,28,17,3,6,34,3,0,1,Matches,1,1,0,0,0,0,4,4,36,25.0,88,0.0,113,61,54.0,11,11,2,12,30.8
Alireza Jahanbakhsh,,2013-2014,19,17th,27,11,"1,294",5,4,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,27,,
Alireza Jahanbakhsh,,2014-2015,20,1st,28,28,"2,327",12,15,,38,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Alireza Jahanbakhsh,,2015-2016,21,4th,23,21,"1,661",3,5,,24,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,2,30,,
Alireza Jahanbakhsh,,2016-2017,22,6th,29,25,"2,226",10,8,0,26,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,4,43,,
Alireza Jahanbakhsh,,2017-2018,23,3rd,33,33,"2,839",21,12,0,62,,,,,,,,0,,,,,,,,,Matches,,,,,,,,0,,,,,,,,,0,41,,
Alireza Jahanbakhsh,,2018-2019,24,3rd,1,1,90,0,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Alireza Jahanbakhsh,,2018-2019,24,17th,19,12,"1,020",0,0,22,7,31.8,0.00,210,68.6,20.0,79.0,52.6,23,198,49,59,37,244,11,4,3,Matches,18,11,1,3,0,0,39,24,215,24.2,480,42.5,422,298,70.6,32,7,19,87,36.4
Alireza Jahanbakhsh,,2019-2020,25,15th,10,3,311,2,0,11,2,18.2,0.18,84,60.0,22.2,72.3,30.0,24,87,31,22,16,116,4,0,4,Matches,8,5,1,1,0,0,7,3,51,39.2,194,53.8,180,142,78.9,6,7,2,32,0.0
Jota,,2010-2011,19,6th,4,1,145,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Jota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jota,,2012-2013,21,8th,3,0,51,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Jota,,2013-2014,22,1st,35,31,"2,694",11,1,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Jota,,2014-2015,23,5th,42,37,"2,835",11,3,,38,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,21,,
Jota,,2015-2016,24,14th,13,8,697,0,0,,5,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,5,19,,
Jota,,2015-2016,24,9th,5,1,166,0,0,,2,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,3,,
Jota,,2016-2017,25,10th,5,3,200,0,0,3,0,0.0,0.00,,,,,,5,,,,,,,,,Matches,,,,,,,,1,,,,,,,,,2,4,,
