playername,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,cmpsp,cmpmp,cmplp,crs,ground,low,high,left,right,head,off,int,block,sca,passlive,drib,gca,gcapasslive,gcadrib,tkl,tklw,press,pressp,touches,succp,targ,rec,recp,miscon,subs,fls,recov,aerialwonp
Pierre-Emerick Aubameyang,67500000,2017-2018,28,6th,13,12,"1,057",10,4,28,17,60.7,0.32,219,68.7,39.3,78.0,31.7,16,219,43,57,21,268,23,1,16,Matches,25,21,1,8,6,0,5,4,131,24.4,420,100.0,439,296,67.4,17,1,1,52,23.5
Pierre-Emerick Aubameyang,63000000,2018-2019,29,5th,36,30,"2,726",22,5,89,34,38.2,0.20,526,70.9,38.3,75.7,53.1,45,507,126,109,69,614,32,7,19,Matches,60,44,6,12,7,1,21,12,597,25.1,1074,51.8,1450,831,57.3,67,6,13,100,28.4
Pierre-Emerick Aubameyang,50400000,2019-2020,30,8th,36,35,"3,136",22,3,90,40,44.4,0.22,612,68.9,23.3,76.3,50.8,86,558,173,157,99,735,23,2,23,Matches,54,38,7,9,6,0,39,24,573,22.7,1248,51.0,1528,939,61.5,58,1,14,125,38.5
Ashley Barnes,90000,2007-2008,17,9th,3,1,80,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,
Ashley Barnes,90000,2007-2008,17,12th,5,3,253,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,,
Ashley Barnes,90000,2008-2009,18,13th,8,8,666,5,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20,,
Ashley Barnes,90000,2008-2009,18,21st,15,12,989,1,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,,
Ashley Barnes,90000,2009-2010,19,23rd,7,3,233,1,0,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,
Ashley Barnes,90000,2009-2010,19,17th,6,6,483,0,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,,
Ashley Barnes,90000,2009-2010,19,13th,8,4,456,4,0,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,
Ashley Barnes,225000,2010-2011,20,1st,42,31,"2,781",18,5,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,36,,
Ashley Barnes,675000,2011-2012,21,10th,43,36,"3,151",11,4,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,,
Ashley Barnes,810000,2012-2013,22,4th,34,26,"2,381",8,4,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,39,,
Ashley Barnes,1080000,2013-2014,23,6th,22,17,"1,519",5,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,28,,
Ashley Barnes,1350000,2013-2014,23,2nd,21,11,"1,110",3,1,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,28,,
Ashley Barnes,2250000,2014-2015,24,19th,35,28,"2,416",5,2,,21,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,71,,
Ashley Barnes,1800000,2015-2016,25,1st,8,1,199,0,0,,1,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,7,9,,
Ashley Barnes,2250000,2016-2017,26,16th,28,20,"1,773",6,2,44,19,43.2,0.09,,,,,,9,,,,,,,,,Matches,,,,,,,,18,,,,,,,,,8,54,,
Ashley Barnes,7200000,2017-2018,27,7th,36,21,"2,165",9,0,63,25,39.7,0.14,306,60.1,39.0,66.5,43.5,16,258,103,148,86,268,91,3,15,Matches,48,33,4,5,5,0,12,10,468,26.3,827,61.5,1100,578,52.5,75,15,53,107,30.5
Ashley Barnes,9000000,2018-2019,28,15th,37,26,"2,388",12,2,61,27,44.3,0.16,346,61.9,34.2,68.6,40.9,6,271,140,148,85,302,89,7,10,Matches,43,28,0,5,3,0,26,14,727,23.1,913,57.9,1432,631,44.1,96,11,53,134,28.9
Ashley Barnes,7200000,2019-2020,29,10th,19,17,"1,352",6,0,39,11,28.2,0.13,155,61.3,31.8,71.7,31.8,5,123,59,71,46,142,22,1,9,Matches,19,12,1,1,0,0,6,4,275,22.9,435,64.7,706,298,42.2,41,2,35,65,32.8
Michy Batshuayi,360000,2010-2011,16,2nd,2,0,12,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Michy Batshuayi,3150000,2011-2012,17,5th,23,13,"1,215",6,0,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Michy Batshuayi,4500000,2012-2013,18,4th,32,24,"2,043",11,4,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,
Michy Batshuayi,7200000,2013-2014,19,2nd,38,34,"3,040",21,5,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Michy Batshuayi,7200000,2014-2015,20,4th,26,6,911,9,0,,17,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,20,26,,
Michy Batshuayi,13500000,2015-2016,21,13th,36,32,"2,935",17,9,,58,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,4,63,,
Michy Batshuayi,22500000,2016-2017,22,5th,1,1,90,2,0,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Michy Batshuayi,22500000,2016-2017,22,1st,20,1,254,5,1,17,8,47.1,0.29,,,,,,2,,,,,,,,,Matches,,,,,,,,2,,,,,,,,,19,9,,
Michy Batshuayi,22500000,2017-2018,23,5th,12,3,360,2,1,13,5,38.5,0.15,65,70.7,33.3,78.5,66.7,0,70,14,8,17,62,9,1,3,Matches,11,8,2,2,2,0,5,4,72,19.4,147,75.0,209,115,55.0,16,9,4,15,15.4
Michy Batshuayi,36000000,2017-2018,23,4th,10,9,839,7,1,29,14,48.3,0.24,128,69.9,35.3,74.3,69.2,0,112,45,26,40,118,11,3,3,Matches,15,11,1,3,3,0,7,4,158,31.6,299,45.5,422,213,50.5,27,1,16,35,28.6
Michy Batshuayi,27000000,2018-2019,24,12th,11,9,750,5,0,26,10,38.5,0.19,111,68.5,33.3,74.4,61.5,1,99,34,29,44,96,7,1,5,Matches,18,8,5,3,1,0,2,1,170,18.8,252,68.4,358,174,48.6,20,2,7,50,28.6
Michy Batshuayi,22500000,2018-2019,24,4th,15,4,527,1,0,18,7,38.9,0.06,106,75.7,33.3,75.2,88.0,3,99,22,19,32,90,10,1,2,Matches,16,11,0,0,0,0,1,1,110,20.9,219,31.3,310,170,54.8,15,11,16,28,28.6
Michy Batshuayi,19800000,2019-2020,25,1st,1,1,90,2,1,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,0,,,
Michy Batshuayi,12600000,2019-2020,25,4th,16,1,239,1,1,15,2,13.3,0.07,61,80.3,55.6,83.6,83.3,0,53,14,9,23,48,0,0,3,Matches,7,5,1,3,2,0,2,1,72,23.6,120,50.0,181,87,48.1,10,15,4,17,28.6
Christian Benteke,225000,2007-2008,16,10th,7,3,254,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Christian Benteke,900000,2008-2009,17,8th,3,1,97,0,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
Christian Benteke,585000,2008-2009,17,1st,9,5,473,3,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Christian Benteke,1350000,2009-2010,18,5th,32,26,"2,468",14,4,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,
Christian Benteke,1080000,2010-2011,19,7th,18,13,"1,271",6,0,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,
Christian Benteke,1080000,2010-2011,19,2nd,5,4,301,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Christian Benteke,1800000,2011-2012,20,5th,5,2,237,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,
Christian Benteke,2700000,2011-2012,20,3rd,32,22,"2,150",16,6,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,
Christian Benteke,10800000,2012-2013,21,5th,5,5,434,3,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Christian Benteke,16200000,2012-2013,21,15th,34,32,"2,819",19,4,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,67,,
Christian Benteke,13500000,2013-2014,22,15th,26,24,"2,126",10,2,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,47,,
Christian Benteke,18000000,2014-2015,23,17th,29,26,"2,379",13,2,,30,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,3,41,,
Christian Benteke,24300000,2015-2016,24,8th,29,14,"1,529",9,3,,20,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,15,29,,
Christian Benteke,25200000,2016-2017,25,14th,36,36,"3,131",15,2,105,40,38.1,0.12,,,,,,1,,,,,,,,,Matches,,,,,,,,6,,,,,,,,,0,81,,
Christian Benteke,19800000,2017-2018,26,11th,31,24,"2,240",3,5,57,17,29.8,0.04,378,58.4,41.4,60.7,55.9,3,239,171,237,28,303,150,0,24,Matches,59,41,3,12,8,0,8,7,282,20.2,941,60.0,1187,703,59.2,69,7,48,83,61.6
Christian Benteke,13500000,2018-2019,27,12th,16,9,814,1,1,29,8,27.6,0.03,139,57.2,41.2,58.9,55.2,1,96,56,91,16,118,42,0,9,Matches,18,13,1,2,1,0,5,4,153,21.6,354,50.0,482,276,57.3,26,7,18,38,61.2
Christian Benteke,9450000,2019-2020,28,14th,24,13,"1,261",2,1,42,19,45.2,0.05,190,58.3,44.0,60.2,55.0,5,143,85,98,21,165,37,0,11,Matches,36,24,5,6,5,1,9,5,178,27.5,540,60.0,724,402,55.5,44,11,25,55,53.9
Jarrod Bowen,,2013-2014,16,20th,8,8,617,1,1,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,,
Jarrod Bowen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Bowen,225000,2016-2017,19,18th,7,1,181,0,0,3,0,0.0,0.00,,,,,,0,,,,,,,,,Matches,,,,,,,,1,,,,,,,,,6,3,,
Jarrod Bowen,4500000,2017-2018,20,18th,42,37,"3,280",14,1,77,33,42.9,0.18,,,,,,137,,,,,,,,,Matches,,,,,,,,41,,,,,,,,,5,30,,
Jarrod Bowen,9000000,2018-2019,21,13th,46,45,"3,944",22,4,114,49,43.0,0.16,,,,,,129,,,,,,,,,Matches,,,,,,,,42,,,,,,,,,1,34,,
