playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Julian Brandt,41992373.9,45000000,2019,22,4,33,30,2666,7,11,37.9,2.23,0.11,0,1453,77.5,148,61,,152,105,12,34,23,21,476,29.4,2230,62.5,2056,1701,82.7,69,13,231,41.3
Ignacio Pussetto,8398474.781,9000000,2019,22,12,35,24,2178,4,4,58,17,29.3,0.07,503,69.9,31,10,,66,41,11,9,5,65,554,21.5,1146,51.5,1146,732,63.9,72,53,147,43.7
Alexis Claude-Maurice,7333311.313,8000000,2020,21,1,2,1,104,1,1,38,11,28.9,0,504,84,28,10,8,54,32,11,5,4,30,350,24.9,882,65.3,804,668,83.1,57,13,96,52.6
Jamie Vardy,13199960.36,14400000,2020,32,5,35,34,3033,23,5,87,38,43.7,0.22,314,68.1,33,11,,63,40,11,12,6,17,497,29.4,733,56.8,1222,503,41.2,60,19,90,34.9
Franck Ribéry,2639992.073,2880000,2020,36,10,21,19,1409,3,3,52,1.6,0.12,0,623,84.2,15,12,,83,59,11,10,4,16,278,26.6,971,61.1,969,817,84.3,40,21,100,19
Dodi Lukebakio,15674952.93,17100000,2020,21,10,30,24,2031,7,6,47.4,1.68,0.18,0,480,75.4,56,12,,66,44,11,11,3,33,312,24.4,929,65.9,955,642,67.2,60,26,137,35.7
Wesley Saïd,1314508.277,1350000,2017,21,9,25,9,1031,4,0,51,24,47.1,0,365,73.6,20,13,13,43,25,11,7,3,31,369,25.5,694,71.7,667,477,71.5,32,35,101,0
Joshua King,13199960.36,14400000,2020,27,18,26,24,2011,6,4,23,9,39.1,0.13,361,72.6,23,14,,56,37,11,8,4,19,493,24.9,823,50,984,600,61,73,37,129,36.8
Matteo Politano,18809224.12,19800000,2018,23,11,36,33,2812,10,4,34.7,3.14,0.1,0,706,64.7,180,16,,131,80,11,11,6,30,578,23.2,1520,57,1489,1078,72.4,66,20,213,25
Jordan Ayew,8249975.227,9000000,2020,27,14,37,37,3148,9,2,56,24,42.9,0.16,686,81.9,25,18,,66,43,11,7,3,54,1018,21.5,1366,64.1,1682,956,56.8,99,59,212,25.2
Robert Lewandowski,54590086.08,58500000,2019,29,1,33,33,2957,22,7,35.5,4.2,0.14,3,599,78.4,10,19,,120,78,11,21,10,12,418,33,1158,68.7,1519,948,62.4,80,26,113,44.3
Marcus Rashford,65999801.82,72000000,2020,21,3,31,31,2643,17,7,84,38,45.2,0.13,758,76.7,32,26,,93,65,11,20,11,12,378,27,1378,54.5,1557,1103,70.8,71,21,140,30.3
Jack Grealish,32999900.91,36000000,2020,23,17,36,36,3233,8,6,72,22,30.6,0.11,1217,79.1,140,27,,184,130,11,15,11,36,574,26.8,2029,59.2,1776,1467,82.6,62,36,254,32.7
Antoine Griezmann,128244709.9,135000000,2018,26,2,32,30,2509,19,9,73,38,52.1,2,815,76.3,41,29,42,91,62,11,19,14,30,613,22.5,1335,63.5,1445,1007,69.7,39,22,156,23.7
Nabil Fekir,50390848.69,54000000,2019,25,3,29,24,1988,9,7,85,38,44.7,4,893,82.1,77,30,19,122,75,11,14,12,40,690,22.5,1432,63.4,1418,1107,78.1,42,44,114,27
Neymar,151172546.1,162000000,2019,26,1,17,16,1439,15,7,51,21,41.2,5,829,78.6,57,33,27,96,55,11,23,15,17,211,25.6,1389,55.3,1345,1142,84.9,65,13,90,71.4
Sadio Mané,100781697.4,108000000,2019,26,2,36,35,3077,22,1,88,42,47.7,0.25,932,76.7,39,34,,105,78,11,15,8,46,689,29.3,1682,55.5,1903,1323,69.5,93,35,198,27
Philippe Coutinho,58789323.47,63000000,2019,26,1,34,22,2018,5,2,46.3,2.99,0.07,0,1260,86.1,49,35,,88,63,11,6,6,18,370,25.4,1766,62.4,1726,1452,84.1,38,19,132,16.7
Karim Benzema,26399920.73,28800000,2020,31,1,37,36,3141,21,8,118,54,45.8,5,1119,84.2,22,36,36,118,104,11,17,15,17,319,26,1688,54.2,2018,1406,69.7,59,21,126,36.8
Daniel Caligiuri,6412235.495,6750000,2018,29,2,33,32,2917,6,10,48.5,1.02,0.09,3,1246,69.8,167,41,,85,49,11,16,6,97,636,29.9,2185,65.9,1177,1075,91.3,36,38,323,52
Flavien Tait,5984753.129,6300000,2018,24,14,32,26,2241,4,3,58,26,44.8,0,702,71.6,103,43,53,85,52,11,11,8,44,553,22.6,1345,63,1082,899,83.1,49,30,178,0
Gerard Moreno,17099294.65,18000000,2018,25,11,38,38,3411,16,1,108,46,42.6,1,825,67.6,39,45,70,100,71,11,9,6,29,759,25.2,1707,67.3,1907,1278,67,103,55,191,45.6
Kingsley Coman,42748236.64,45000000,2018,21,1,21,10,1153,3,3,51.6,2.42,0.1,0,484,79.7,59,2,,63,48,10,9,6,9,188,30.3,789,73.7,791,644,81.4,39,7,96,60
Onel Hernández,2639992.073,2880000,2020,26,20,26,14,1384,1,2,30,9,30,0.03,248,74,24,6,,43,27,10,4,3,37,244,34.4,565,63.2,554,368,66.4,32,14,90,11.5
Gonçalo Guedes,18562444.26,20250000,2020,22,9,21,14,1266,2,2,23,9,39.1,0,363,75.9,29,8,24,45,28,10,6,4,25,239,24.7,651,71.4,612,500,81.7,32,16,84,21.1
Robin Quaison,8662473.988,9450000,2020,25,13,32,31,2602,13,2,40.3,2.49,0.17,1,408,70.7,11,11,,57,37,10,4,3,27,647,22.7,900,66.1,1025,599,58.4,48,26,156,30.3
Dries Mertens,16499950.45,18000000,2020,32,7,31,18,1689,9,7,32,4,0.12,0,536,75.2,83,11,,96,67,10,14,9,23,502,29.1,909,54.2,911,679,74.5,19,29,90,23.1
Memphis Depay,36299891,39600000,2020,25,7,13,12,1018,9,2,46,19,41.3,1,368,75.9,36,14,13,52,21,10,6,2,9,159,28.3,640,64.2,670,492,73.4,36,8,53,15.4
Borja Iglesias,17099294.65,18000000,2018,24,3,39,39,3435,22,6,87,35,40.2,3,481,69.5,12,15,49,81,48,10,11,5,27,632,20.3,1130,61.1,1606,790,49.2,108,56,141,39.7
Marius Bülter,2474992.568,2700000,2020,26,11,32,28,2321,7,1,37.5,1.55,0.18,0,411,62.7,72,15,,48,37,10,3,2,40,504,26.6,1047,62.3,956,653,68.3,61,33,192,32.1
Felipe Anderson,29923765.64,31500000,2018,24,5,21,9,1162,4,6,25,11,44,0.16,504,71.1,74,18,,69,47,10,13,11,28,265,29.8,945,61.5,822,670,81.5,48,7,110,27.3
Jonathan Ikone,29699910.82,32400000,2020,21,4,28,26,2057,3,6,36,14,38.9,1,544,77.1,21,19,34,70,55,10,12,10,19,486,27.4,997,53.8,1062,766,72.1,63,17,127,20
Alexandre Lacazette,55572707.63,58500000,2018,26,6,32,26,2202,14,4,67,32,47.8,0.18,531,75.4,15,20,,87,56,10,11,6,25,423,31.4,990,63.8,1157,743,64.2,54,28,106,30
Ayoze Pérez,25195424.34,27000000,2019,25,13,37,34,2917,12,2,53,26,49.1,0.23,609,75,22,20,,87,63,10,6,6,52,932,19.7,1300,64.3,1374,834,60.7,83,46,221,22.2
Gerard Moreno,24749925.68,27000000,2020,27,5,35,33,2744,18,5,85,32,37.6,1,743,72.3,62,21,48,92,70,10,17,9,17,393,23.2,1447,60.4,1648,1152,69.9,95,36,133,38.8
Diogo Jota,29394661.73,31500000,2019,21,7,33,29,2355,9,5,57,23,40.4,0.16,597,75.8,36,21,,75,45,10,11,5,29,494,24.7,1170,55.2,1304,870,66.7,74,42,167,26.2
Richarlison,42899871.18,46800000,2020,22,12,36,36,3070,13,3,91,31,34.1,0.14,541,65.8,56,24,,78,45,10,10,5,69,706,26.3,1374,62.3,1509,938,62.2,90,43,222,35.4
Dries Mertens,20996186.95,22500000,2019,31,2,35,23,2252,16,11,44.9,3.56,0.17,1,677,74.9,74,24,,110,81,10,18,10,25,586,22.9,1163,44.9,1325,941,71,40,33,104,33.3
Álvaro Morata,55572707.63,58500000,2018,24,5,31,24,2061,11,6,83,33,39.8,0,406,70.9,20,25,28,81,55,10,10,8,9,268,23.5,930,47.6,1167,725,62.1,73,41,83,37.3
Leroy Sané,83984747.81,90000000,2019,22,1,31,21,1867,10,10,56,24,42.9,0.18,750,78.6,99,27,,75,48,10,16,12,23,349,33.5,1253,57.7,1244,986,79.3,68,10,122,38.1
Lucas Pérez,5129788.396,5400000,2018,28,18,35,31,2797,8,6,52,24,46.2,3,659,67.5,166,27,29,121,59,10,11,5,14,682,24.3,1241,60.3,1338,801,59.9,65,26,146,7.7
Lorenzo Insigne,39599881.09,43200000,2020,28,7,37,34,2810,8,6,33.3,3.75,0.03,5,1450,81.3,118,28,,149,110,10,15,7,31,424,28.8,2181,57.9,2031,1723,84.8,66,8,209,33.3
Saîf-Eddine Khaoui,4274823.664,4500000,2018,22,19,32,21,1955,5,1,59,22,37.3,0,465,65.2,104,29,30,67,33,10,3,0,31,450,24,999,55.8,789,623,79,54,40,145,44.4
Ángel Correa,20519153.58,21600000,2018,22,2,37,27,2240,8,5,48,25,52.1,0,646,72,32,30,48,70,44,10,12,7,37,559,29.3,1336,57.3,1245,957,76.9,95,44,201,22.7
Zlatan Ibrahimović,2939466.173,3150000,2019,37,8,29,29,2610,30,7,41.3,4.93,0.17,6,704,71.6,20,30,,103,73,10,18,7,10,169,23.7,1340,59.5,1707,1073,62.9,75,51,94,72.7
Rodrigo,41992373.9,45000000,2019,27,4,33,29,2528,8,6,76,29,38.2,0,621,71.6,30,32,33,75,53,10,16,12,16,549,22.6,1209,57.1,1524,983,64.5,76,23,122,25.5
Son Heung-min,42748236.64,45000000,2018,25,3,37,27,2317,12,6,72,34,47.2,0.17,781,80.1,50,32,,85,66,10,20,14,21,397,27.2,1304,59.1,1452,1069,73.6,70,15,135,0
Nicolas Pépé,8549647.327,9000000,2018,22,17,36,31,2841,13,5,64,27,42.2,0.19,804,78.7,59,32,,95,68,10,10,7,31,399,25.6,1516,62.7,1609,1168,72.6,107,27,138,38.5
Raheem Sterling,105599682.9,115200000,2020,24,2,33,30,2651,20,1,96,36,37.5,0.21,983,80.8,50,33,,116,82,10,11,5,41,412,32,1635,46.1,1688,1343,79.6,51,30,160,36.4
Leroy Sané,76946825.94,81000000,2018,21,1,32,27,2419,10,15,54,19,35.2,0.19,926,78.5,93,35,,100,78,10,23,16,20,338,32.5,1509,56.8,1442,1189,82.5,73,24,142,38.5
Ousmane Dembélé,62988560.86,67500000,2019,21,1,29,20,1661,8,5,38,16,42.1,0,790,77.6,82,35,41,86,61,10,13,9,19,350,23.4,1247,67.4,1239,1031,83.2,42,22,102,40
Iago Aspas,13199960.36,14400000,2020,31,17,37,37,3262,14,3,78,31,39.7,5,998,77.8,29,36,63,103,76,10,12,6,29,537,27.2,1676,61.9,1959,1317,67.2,69,25,160,26.4
Emi Buendía,12177788.43,13050000,2019,21,1,38,35,2841,8,12,40,11,27.5,0.03,1144,74.6,166,37,,135,83,10,7,5,88,789,26.2,1983,76.3,1561,1329,85.1,67,36,232,29.9
Philippe Coutinho,119695062.6,126000000,2018,25,4,32,29,2402,15,11,34,4.3,0.13,0,1270,73.9,107,40,,128,87,10,20,12,34,517,24.1,1986,61.7,1777,1561,87.4,65,16,176,80
Felipe Anderson,33593899.12,36000000,2019,25,10,36,36,3043,9,4,58,24,41.4,0.16,1328,73,122,49,,129,87,10,14,9,76,751,22.9,2299,54.9,1922,1650,85.8,71,27,295,21.7
Gaël Kakuta,5129788.396,5400000,2018,26,13,36,36,3084,6,4,58,19,32.8,0,889,64.5,169,62,62,108,62,10,12,7,43,614,27.2,1885,55.8,1561,1273,81.6,96,17,245,36.5
Adama Traoré,12597712.17,13500000,2019,22,7,29,8,902,1,1,19,7,36.8,0.05,240,71.9,37,5,,40,26,9,2,1,16,150,23.3,524,75,560,371,66.3,41,15,66,50
Roberto Inglese,10687059.16,11250000,2018,25,13,34,33,2782,12,1,46.1,2.46,0.14,1,362,64.3,17,6,,54,37,9,3,2,32,454,22.5,961,69.6,1355,699,51.6,90,38,114,35.4
Matteo Politano,18562444.26,20250000,2020,25,7,37,13,1002,2,2,42.1,2.3,0.11,0,363,76.3,55,7,,60,37,9,4,2,13,150,24.5,627,70.8,579,478,84.4,18,11,67,22.2
Raúl de Tomás,5129788.396,5400000,2018,22,1,32,30,2496,24,3,109,46,42.2,0,402,80.2,11,10,10,56,27,9,6,3,11,445,19.8,895,63.9,1355,630,46.5,80,61,86,35.2
Christian Pulisic,50390848.69,54000000,2019,19,2,20,9,932,4,4,27,10,37,0.15,403,76.2,39,10,,53,30,9,11,4,10,158,27.2,737,68.7,666,576,86.5,44,9,74,42.9
Sergio Agüero,42899871.18,46800000,2020,31,2,24,18,1452,16,3,73,25,34.2,0.19,284,77.4,10,11,,51,28,9,8,4,7,222,25.2,572,60,780,450,57.7,24,9,61,12.5
Casimir Ninga,8398474.781,9000000,2019,25,19,33,28,2468,6,3,52,17,32.7,1,422,73.5,52,11,23,49,32,9,3,3,47,589,23.3,1056,42.1,1154,698,60.5,107,64,189,30
Nicolas Pépé,37124888.52,40500000,2020,24,8,31,22,2010,5,6,49,16,32.7,0.08,616,76.7,108,11,,66,38,9,9,8,30,354,25.1,1126,54.5,1103,825,74.8,56,14,134,24.1
Christian Pulisic,38473412.97,40500000,2018,18,4,32,27,2302,4,5,36,15,41.7,0.11,677,75.6,71,11,,64,46,9,5,4,36,431,28.5,1282,59.7,1301,971,74.6,76,16,163,21.1
Giovanni Simeone,21374118.32,22500000,2018,22,8,38,36,2998,14,4,35.5,3.21,0.13,0,387,70,19,11,,75,57,9,9,7,45,719,27.7,1076,48.8,1442,766,53.1,114,54,120,24.1
Davie Selke,16796949.56,18000000,2019,23,11,30,16,1739,3,5,44.4,2.33,0.07,0,288,61.1,20,12,,41,24,9,10,5,5,341,24.9,699,53.6,997,556,55.8,57,28,74,55.1
Youcef Attal,18333278.28,20000000,2020,23,6,13,12,1003,1,1,19,9,47.4,0,411,80.7,30,12,22,31,18,9,2,1,29,195,27.2,741,48.2,621,512,82.4,38,15,70,60.9
Wesley Saïd,5129788.396,5400000,2018,22,11,29,20,1839,9,1,59,24,40.7,0,436,72.7,36,13,27,61,38,9,6,4,29,456,23,824,75,993,591,59.5,45,50,110,31.7
Moussa Diaby,16796949.56,18000000,2019,19,1,25,10,1141,2,6,24,1.97,0.08,0,464,80.1,30,13,,35,25,9,10,7,15,262,26.7,719,55.3,700,568,81.1,30,15,73,10
Danny Ings,12597712.17,13500000,2019,26,16,24,23,1651,7,3,52,19,36.5,0.08,287,68.8,15,14,,50,35,9,8,2,26,443,28.7,641,68,807,463,57.4,49,16,82,30.4
Robert Lewandowski,76946825.94,81000000,2018,28,1,30,24,2172,29,2,39.7,5.01,0.19,6,480,78.3,15,15,,68,43,9,11,7,4,279,33.3,926,58.8,1241,783,63.1,61,37,80,51.4
Stefano Okaka,2639992.073,2880000,2020,29,15,32,27,2333,7,2,23.2,2.16,0.13,0,463,76.8,7,15,,62,45,9,6,5,25,529,23.6,974,58.9,1241,748,60.3,73,67,104,36.8
Dele Alli,65999801.82,72000000,2020,23,6,25,21,1847,8,4,39,18,46.2,0.18,621,77.1,7,16,,53,39,9,12,5,41,479,28.2,1132,50.8,1102,773,70.1,45,12,157,34.7
Amine Harit,4274823.664,4500000,2018,20,2,31,23,2043,3,3,36,1.1,0.08,1,624,81.1,25,16,,88,60,9,14,4,28,528,28.8,1117,67,1026,824,80.3,65,19,181,42.9
Joelinton,29394661.73,31500000,2019,21,9,28,25,2130,7,5,56,23,41.1,0.13,570,80.6,6,18,,75,53,9,12,8,38,469,23.2,1067,58.8,1108,755,68.1,79,56,158,34.7
Andrej Kramarić,29923765.64,31500000,2018,26,3,34,22,2228,13,6,39.8,3.35,0.13,2,668,72.5,141,19,,88,53,9,12,8,5,363,20.7,1193,59.3,1198,891,74.4,49,10,128,30.4
Gonzalo Higuaín,51297883.96,54000000,2018,29,1,35,32,2815,16,5,37.6,3.23,0.15,1,560,79.4,16,19,,82,58,9,16,10,24,415,26.7,1143,54.4,1416,922,65.1,91,19,103,21.1
Ruben Loftus-Cheek,15389365.19,16200000,2018,21,11,24,21,1874,2,3,32,7,21.9,0.06,582,81.9,13,19,,63,43,9,8,5,15,375,27.5,1017,61.8,915,711,77.7,42,17,171,36.6
Samu Castillejo,15389365.19,16200000,2018,22,5,30,25,2066,6,5,33.9,2.44,0.11,0,747,75.3,96,20,,93,53,9,19,11,36,560,26.3,1352,53.4,1104,933,84.5,48,43,139,31.4
Christopher Antwi-Adjei,1319996.036,1440000,2020,25,18,34,28,2470,1,2,21.3,1.71,0.02,0,603,71.3,69,20,,79,53,9,5,3,31,483,25.5,1181,45,1031,745,72.3,59,16,170,39.3
Kai Havertz,66824799.34,72900000,2020,20,5,30,29,2454,12,6,43.1,2.13,0.19,1,1207,85.2,28,22,,117,97,9,14,13,26,335,30.7,1826,51.3,2046,1521,74.3,88,26,149,41
Andy Delort,10724967.79,11700000,2020,27,8,26,26,2280,9,3,83,28,33.7,0,451,59,90,23,46,80,48,9,10,3,32,347,29.7,1117,37.8,1344,837,62.3,78,69,118,45.4
Jonathan Calleri,6298856.086,6750000,2019,24,11,34,33,2869,9,2,73,17,23.3,2,457,61.8,48,23,40,66,42,9,5,1,24,632,18.5,1231,56.3,1601,875,54.7,111,70,167,45.2
Ciro Immobile,32999900.91,36000000,2020,29,4,37,36,3170,36,9,44.1,3.61,0.17,14,715,77,12,23,,112,82,9,20,12,12,493,21.5,1337,49.2,1619,1081,66.8,83,39,142,26.1
Marcus Rashford,55572707.63,58500000,2018,19,2,35,17,1813,7,5,60,19,31.7,0.12,477,70.7,83,24,,50,32,9,9,5,11,269,23.8,953,51.9,972,696,71.6,54,21,99,40.9
Joshua King,16796949.56,18000000,2019,26,14,35,34,2961,12,3,64,18,28.1,0.11,607,69.9,43,25,,77,57,9,12,9,32,811,19.5,1360,61.3,1614,1002,62.1,114,52,194,40
Roberto Pereyra,10918017.22,11700000,2019,27,11,33,33,2815,6,1,56,21,37.5,0.11,967,81.5,41,27,,85,60,9,11,6,24,591,29.1,1585,49.5,1418,1109,78.2,69,27,245,15
Hakan Çalhanoğlu,23084047.78,24300000,2018,23,6,31,25,2172,6,6,31.5,3.81,0.07,0,1023,76,158,28,,129,85,9,9,6,35,439,26.4,1644,75.7,1345,1179,87.7,51,29,175,41.7
Bernard,15117254.61,16200000,2019,25,8,34,25,2116,1,3,24,5,20.8,0.04,633,73,51,29,,79,63,9,10,6,48,490,25.7,1204,50.6,1059,821,77.5,69,17,199,15.4
Ángel Di María,26399920.73,28800000,2020,31,1,26,23,2000,8,14,73,22,30.1,1,940,72.9,162,30,55,136,98,9,25,17,21,410,25.4,1593,52.9,1407,1235,87.8,47,12,142,20
Dimitri Payet,8249975.227,9000000,2020,32,2,22,22,1930,9,4,60,23,38.3,3,775,69.9,183,30,46,140,65,9,13,6,21,233,28.3,1350,60.2,1155,964,83.5,30,15,122,39.1
Rodrigo,34198589.31,36000000,2018,26,4,37,31,2670,16,4,91,38,41.8,1,673,73,25,31,29,90,67,9,14,10,18,518,20.8,1252,67.1,1485,1031,69.4,62,28,100,36.5
Salomon Kalou,1679694.956,1800000,2019,32,11,30,27,2317,8,2,31.1,1.75,0.11,3,509,71.4,21,31,,57,40,9,8,5,19,461,19.7,1020,75.3,1161,756,65.1,65,29,135,29.8
Hakan Çalhanoğlu,11962464.08,13050000,2020,25,6,35,34,2704,9,9,31.4,3.39,0.08,1,1289,78.2,151,34,,127,90,9,14,9,43,539,29.3,1996,66.1,1723,1472,85.4,48,38,201,30.3
Samuel Grandsir,3324862.849,3500000,2018,20,19,36,29,2604,3,4,47,21,44.7,0,661,69.7,83,36,55,78,63,9,9,6,57,646,21.4,1385,54.4,1253,966,77.1,73,52,208,15.4
Daniel Caligiuri,4199237.39,4500000,2019,30,14,31,31,2756,7,3,22.7,1.44,0.07,4,1144,68.8,180,36,,92,36,9,9,2,97,578,30.6,2090,67.9,1120,1007,89.9,28,31,320,48
Jadon Sancho,107249677.9,117000000,2020,19,2,32,25,2287,17,16,53.8,2.05,0.33,0,1348,83.5,77,37,,124,95,9,32,25,17,412,31.8,1924,56.7,1946,1620,83.2,61,9,136,5.6
Moise Kean,33593899.12,36000000,2019,18,1,13,5,541,6,0,30,13,43.3,0.07,104,73.2,12,5,,27,14,8,1,0,7,120,30,273,69.8,421,197,46.8,22,27,40,18.4
Lys Mousset,11549965.32,12600000,2020,23,9,30,11,1240,6,4,35,9,25.7,0.17,176,73.6,4,6,,26,15,8,5,5,11,296,28,431,64.8,739,310,41.9,46,24,66,13.4
Kelechi Iheanacho,12374962.84,13500000,2020,22,5,20,12,960,5,3,34,18,52.9,0.15,217,81,2,6,,39,24,8,5,3,6,193,29,426,65.5,583,344,59,43,24,42,9.4
Sofiane Boufal,6599980.182,7200000,2020,25,11,20,8,764,0,2,21,7,33.3,0,247,76,27,6,,37,22,8,3,2,21,218,32.6,515,56.3,468,382,81.6,21,25,69,42.1
Robin Quaison,4274823.664,4500000,2018,23,14,24,15,1409,4,1,37.5,2.56,0.1,0,206,70.8,7,10,,32,22,8,2,1,16,363,24.5,494,55.2,600,327,54.5,40,31,81,29.3
Harry Kane,125977121.7,135000000,2019,25,4,28,27,2424,17,4,97,42,43.3,0.13,423,73.6,13,11,,77,53,8,12,7,11,357,26.1,935,62.3,1263,743,58.8,84,31,88,38.6
Maxwel Cornet,12131130.24,13000000,2019,21,3,27,12,1281,7,5,48,21,43.8,0,348,71.8,53,11,21,54,33,8,8,5,17,221,24.9,675,59.2,715,515,72,35,8,77,35.5
Lucas Moura,33593899.12,36000000,2019,25,4,32,25,2121,10,0,45,20,44.4,0.22,561,75.3,17,11,,71,51,8,6,3,33,441,25.4,1077,53,1140,791,69.4,59,25,143,40.6
Romelu Lukaku,70124789.43,76500000,2020,26,2,36,33,2979,23,2,43.2,2.87,0.18,6,554,71.7,24,14,,96,80,8,12,9,11,252,23,1128,56.8,1538,885,57.5,65,47,102,53.3
Andrea Belotti,32999900.91,36000000,2020,25,16,35,33,2918,16,3,34.4,2.87,0.1,7,486,66.9,46,14,,89,60,8,11,6,33,448,23,1195,50.7,1466,874,59.6,78,64,138,46.9
Kingsley Coman,50390848.69,54000000,2019,22,1,21,17,1378,6,4,58.1,2.02,0.19,0,545,79.6,56,16,,53,41,8,8,7,10,277,29.2,910,69,908,750,82.6,41,17,103,39.1
Goran Pandev,427482.3664,450000,2018,34,12,32,22,1803,5,1,47.7,2.2,0.11,0,445,73,21,16,,72,55,8,6,6,12,356,26.1,876,61.8,1010,674,66.7,60,28,129,26.1
Franck Ribéry,3359389.912,3600000,2019,35,1,25,10,1174,6,3,45.8,1.84,0.25,0,609,80.9,29,16,,52,40,8,9,5,16,233,33.9,965,57,925,805,87,33,17,102,0
Josip Iličić,18149945.5,19800000,2020,31,3,26,21,1663,15,5,44.4,4.38,0.19,0,773,80.2,58,16,,131,93,8,22,11,28,329,26.4,1306,57.8,1310,1049,80.1,44,11,105,12
Ruben Vargas,7424977.704,8100000,2020,20,15,33,29,2530,6,1,43.3,2.13,0.1,0,420,63.9,26,16,,58,36,8,5,3,35,554,24.4,1045,48.3,985,685,69.5,68,40,172,28.2
Fabio Quagliarella,1709929.465,1800000,2018,34,10,35,33,2719,19,5,35.6,3.44,0.12,7,415,65.1,48,17,,74,56,8,12,9,13,538,25.5,1016,56.5,1187,717,60.4,77,23,143,39.4
Rafinha,7837476.466,8550000,2020,26,17,31,27,2297,4,1,38,11,31.3,0,1280,86.4,39,19,32,75,54,8,6,4,79,522,31.7,1887,75.7,1547,1366,88.2,54,38,280,54.4
Yussuf Poulsen,8549647.327,9000000,2018,23,6,30,18,1664,4,2,34.1,2.22,0.1,0,366,63.9,12,20,,44,25,8,4,3,17,523,29.3,855,63,1095,658,60.1,78,27,88,45.2
Marco Richter,6599980.182,7200000,2020,21,15,31,26,2280,4,3,28.6,2.49,0.06,0,361,60.6,54,20,,55,35,8,6,4,24,464,23.7,1017,43.8,937,667,71.2,82,32,197,39
Harvey Barnes,18149945.5,19800000,2020,21,5,36,24,2083,6,8,61,27,44.3,0.1,559,76.7,42,21,,77,59,8,15,12,22,328,26.2,1019,47.4,1114,823,73.9,50,21,118,39.1
Iker Muniain,11549965.32,12600000,2020,26,11,31,26,2382,5,2,28,13,46.4,0,903,82.6,61,21,18,76,55,8,7,5,34,335,26.3,1358,58.1,1240,1034,83.4,41,28,165,27.6
Domenico Berardi,15389365.19,16200000,2018,22,11,31,29,2296,4,2,27.7,3.25,0.02,2,647,66.1,122,21,,115,73,8,5,3,30,595,22.7,1311,61.7,1240,916,73.9,53,43,193,29.2
Houssem Aouar,40837377.37,44550000,2020,21,7,25,23,1956,3,4,45,17,37.8,0,911,84.7,24,22,30,67,45,8,10,9,28,388,25.8,1366,62.5,1291,1100,85.2,45,24,137,53.6
Christian Kouamé,12597712.17,13500000,2019,20,17,38,33,3066,4,5,29.1,2.52,0.05,0,641,67,29,23,,101,77,8,9,8,39,562,24.2,1473,55.9,1909,1097,57.5,100,37,190,50.8
Anthony Martial,55572707.63,58500000,2018,21,2,30,18,1582,9,5,49,15,30.6,0.16,610,77.9,49,24,,69,53,8,14,11,13,164,28.7,1037,51.8,1022,841,82.3,42,17,117,44
Kingsley Coman,41249876.13,45000000,2020,23,1,24,17,1505,4,3,40.5,2.21,0.11,0,610,76.6,79,24,,75,61,8,10,8,23,288,31.9,1034,59.4,1058,844,79.8,33,11,125,45.9
Willian,32488659.84,34200000,2018,28,5,36,20,1890,6,7,51,22,43.1,0.1,769,74.7,100,25,,110,74,8,13,8,25,336,26.5,1305,58.2,1191,989,83,46,11,143,31.6
Joaquín,427482.3664,450000,2018,36,6,35,29,2476,4,7,32,14,43.8,0,1085,82.7,94,26,21,90,59,8,11,5,16,493,25.8,1563,74.7,1386,1192,86,51,20,157,38.7
Iago Aspas,20996186.95,22500000,2019,30,17,27,26,2251,20,6,64,26,40.6,5,722,79.9,32,27,29,99,77,8,15,12,14,475,24,1142,66,1280,900,70.3,41,16,126,33.3
Karim Benzema,34198589.31,36000000,2018,29,3,32,25,2149,5,9,57,15,26.3,2,713,82.1,7,28,37,91,77,8,23,17,8,400,18.3,1070,73.3,1186,872,73.5,36,19,81,15.8
Joshua King,8549647.327,9000000,2018,25,12,33,27,2453,8,3,47,17,36.2,0.13,517,71.4,36,28,,80,58,8,10,6,30,544,25.2,1185,50.4,1221,857,70.2,96,45,151,39.8
Cristiano Ronaldo,75586273.03,81000000,2019,33,1,31,30,2688,21,8,36.5,5.69,0.09,5,935,82.2,59,28,,132,87,8,14,8,10,281,22.8,1559,52.6,1830,1307,71.4,62,20,115,41.8
Bernardo Silva,83984747.81,90000000,2019,23,1,36,31,2854,7,7,64,22,34.4,0.11,1513,84.1,71,29,,121,103,8,12,11,58,871,26.3,2141,61.7,1873,1628,86.9,42,31,254,23.3
Max Gradel,6839717.862,7200000,2018,29,18,29,27,2415,8,3,66,22,33.3,4,548,55.6,230,30,66,89,48,8,4,2,46,414,25.6,1432,55.2,1240,923,74.4,84,39,203,15.4
Jadon Sancho,100781697.4,108000000,2019,18,2,34,26,2461,12,14,51.3,1.43,0.31,0,1161,80.7,110,33,,124,86,8,33,24,16,547,24.7,1805,60.5,1700,1404,82.6,72,5,189,0
Josip Brekalo,11137466.56,12150000,2020,21,7,30,19,1670,3,4,35.7,2.26,0.07,0,569,69.2,80,33,,82,53,8,7,5,18,337,27,1086,51.9,984,787,80,42,17,126,25
