playername,mvpr,marketvaluepound,season,age,lgrank,MP,starts,min,goal,assist,sh,sot,sotp,gsh,cmp,cmpp,crs,int,block,sca,passlive,drib,gca,gcapasslive,tkl,press,pressp,touches,succp,targ,rec,recp,miscon,fls,recov,aerialwonp
Carlos Bacca,8549647.327,9000000,2018,30,5,35,30,2477,15,5,73,36,49.3,1,380,72,11,20,17,72,47,19,15,8,6,353,20.4,751,72.5,1005,582,57.9,39,24,74,28.9
Kylian Mbappé,148499554.1,162000000,2020,20,1,20,17,1513,18,5,88,49,55.7,0,515,76.8,44,21,28,91,60,19,12,9,4,137,29.2,937,51.3,1040,813,78.2,44,11,69,50
Max Gradel,5039084.869,5400000,2019,30,16,36,36,3240,11,5,112,33,29.5,4,891,68.7,146,29,66,119,57,19,12,5,68,779,20.8,1964,61.4,1929,1365,70.8,115,70,248,37.5
Wilfried Zaha,25648941.98,27000000,2018,24,11,29,28,2549,9,3,65,24,36.9,0.12,496,69,76,31,,108,71,19,13,8,30,418,28.7,1229,57.6,1357,920,67.8,115,45,172,30
Adama Traoré,28874913.29,31500000,2020,23,7,37,27,2605,4,9,43,12,27.9,0.09,621,65.9,182,20,,96,66,18,14,11,41,404,26.7,1400,73.9,1394,1045,75,82,39,171,48.5
Joaquín Correa,16796949.56,18000000,2019,23,8,34,18,1927,5,6,41.4,3.27,0.07,0,748,84.7,18,20,,117,75,18,16,9,23,379,24.8,1182,53.1,1353,975,72.1,50,29,93,35.2
Timo Werner,52799841.45,57600000,2020,23,3,34,33,2795,28,8,50.4,3.77,0.21,3,764,71.7,87,24,,117,83,18,19,12,14,422,24.6,1455,60,1663,1159,69.7,79,18,161,24.3
Jonathan Ikone,25195424.34,27000000,2019,20,2,38,34,2796,3,9,50,17,34,0,709,75.2,24,34,55,111,84,18,20,14,24,655,24.6,1307,65.5,1416,1047,73.9,90,36,156,18.8
Eden Hazard,94046120.6,99000000,2018,26,5,34,28,2422,12,4,67,33,49.3,2,1171,82.2,51,43,48,174,126,18,16,9,7,223,25.6,1770,72.7,1830,1460,79.8,65,13,166,26.1
Hatem Ben Arfa,5039084.869,5400000,2019,31,10,26,23,2033,7,2,51,13,25.5,2,747,80.7,59,12,27,94,54,17,4,2,16,294,20.7,1236,63.6,1107,942,85.1,51,18,111,9.1
Miguel Almirón,8549647.327,9000000,2018,23,2,32,32,2756,12,11,126,45,35.7,0.06,1276,77.3,123,26,,178,108,17,27,18,47,393,24.4,2092,56.8,1848,1652,89.4,81,35,198,33.3
Youcef Attal,23329096.61,25000000,2019,22,7,29,25,2263,6,0,36,16,44.4,0,1027,80.4,71,34,39,75,44,17,3,1,61,462,29.7,1765,55,1317,1138,86.4,89,42,222,51.6
Luis Suárez,59847531.29,63000000,2018,30,1,33,32,2897,25,7,122,55,45.1,1,812,75.9,12,35,44,132,86,17,23,17,18,400,24.8,1482,43,1787,1196,66.9,77,13,104,27.3
Riyad Mahrez,51297883.96,54000000,2018,26,9,36,34,2950,12,10,73,35,47.9,0.16,1059,73.2,160,38,,122,71,17,21,12,37,382,23.3,1879,54.5,1585,1279,80.7,83,23,249,37.5
Alexis Sánchez,59847531.29,63000000,2018,28,2,31,29,2546,9,6,27.3,1.9,0.09,1,1080,71.6,94,70,,159,104,17,22,12,35,487,24.4,1966,71.9,1859,1550,83.9,79,32,181,7.7
Adnan Januzaj,12824470.99,13500000,2018,22,12,28,18,1566,3,5,58,13,22.4,0,419,74.8,59,7,28,83,48,16,12,8,16,325,24.9,882,56.8,860,677,78.7,58,26,76,22.2
Christian Pulisic,49499851.36,54000000,2020,20,4,25,19,1722,9,4,62,25,40.3,0.15,546,78.3,34,8,,79,51,16,13,7,31,379,29.6,1025,49.5,1121,835,74.5,50,13,101,25.4
Diogo Jota,23099930.64,25200000,2020,22,7,34,27,2284,7,1,69,26,37.7,0.1,681,79.1,33,15,,89,51,16,6,4,34,573,22.2,1248,57.6,1292,943,73,66,41,178,36
Joaquín Correa,25162424.44,27450000,2020,24,4,30,22,2002,9,2,48.1,3.46,0.12,0,578,82.9,9,17,,110,70,16,14,9,15,357,26.6,989,63.9,1128,808,71.6,52,18,86,25.8
