idx,min,gls,ast,sh,shgls,cmpp,sca,press,pressp,touches,targ
161,5,0,0,0,0,100,1,3,0,5,9
162,83,1,0,3,0.333333333,80.2,2.57,11.6,25.2,35.8,39.6
163,74,0,0,6,0,90.5,8,5,40,58,53
164,90,0,0,7,0,80.2,2.57,11.6,25.2,35.8,39.6
165,90,0,0,5,0,80.2,2.57,11.6,25.2,35.8,39.6
166,3,0,0,0,0,100,1,4,0,1,1
167,78,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
168,79,1,0,2.56,0.390625,80.2,2.57,11.6,25.2,35.8,39.6
169,75,0,0,1,0,92.3,2,17,11.8,40,40
170,1,0,0,1,0,80.2,2.57,11.6,25.2,35.8,39.6
171,69,1,0,3,0.333333333,73.3,0,23,17.4,21,28
172,82,0,2,1,0,80.2,2.57,11.6,25.2,35.8,39.6
173,62,0,0,1,0,84.2,3,7,28.6,27,42
174,90,1,0,2,0.5,74.1,0,18,33.3,42,47
175,90,2,0,2.56,0.78125,80.2,2.57,11.6,25.2,35.8,39.6
176,90,0,0,2.56,0,80.2,2.57,11.6,25.2,35.8,39.6
177,15,0,0,2,0,66.7,0,3,33.3,9,12
178,90,1,0,4,0.25,80.2,2.57,11.6,25.2,35.8,39.6
179,90,0,0,4,0,79,4,13,38.5,77,84
180,33,0,0,0,0,81.8,2,7,14.3,23,28
181,77,1,0,1,1,68.8,0,15,26.7,24,38
182,65,1,0,5,0.2,80.2,2.57,11.6,25.2,35.8,39.6
183,86,1,1,4,0.25,76.3,7,14,35.7,51,56
184,90,1,0,4,0.25,87.8,2,22,45.5,53,60
185,77,0,0,1,0,82.4,1,13,15.4,25,21
186,78,0,0,3,0,75,2,13,15.4,43,45
187,76,1,2,1,1,74.2,4,17,35.3,41,39
188,90,0,0,2,0,83.3,2,19,21.1,63,60
189,90,1,0,3,0.333333333,80.6,4,14,28.6,77,84
190,32,0,0,4,0,80.2,2.57,11.6,25.2,35.8,39.6
191,90,1,1,7,0.142857143,81.8,6,16,25,46,44
192,70,0,0,0,0,91.7,0,12,33.3,30,38
193,45,0,1,1,0,80.2,2.57,11.6,25.2,35.8,39.6
194,80,0,0,3,0,80,6,10,40,49,52
195,90,0,0,2,0,69,1,8,37.5,35,58
196,60,0,1,6,0,80.2,2.57,11.6,25.2,35.8,39.6
197,70,0,0,2,0,66.7,3,4,50,52,56
198,7,0,0,0,0,80.2,2.57,11.6,25.2,35.8,39.6
199,90,0,0,2,0,80.2,2.57,11.6,25.2,35.8,39.6
